grade,pd_lower,pd_upper
AAA,0.0,0.133161
AA,0.133161,0.212497
A,0.212497,0.302386
BBB,0.302386,0.402151
BB,0.402151,0.514885
B,0.514885,0.676426
CCC,0.676426,0.999999
