,gain
Attr27,427.0
Attr34,310.0
cash_to_current_liabilities,292.0
pd_system,271.0
Attr46,256.0
Attr58,247.0
Attr24,218.0
Attr29,176.0
Attr21,164.0
Attr55,131.0
Attr56,124.0
retained_earnings_to_assets,112.0
Attr35,110.0
Attr47,107.0
sales_to_assets,106.0
Attr39,106.0
Attr44,106.0
Attr42,97.0
Attr61,95.0
Attr20,93.0
Attr25,92.0
Attr36,91.0
Attr40,90.0
working_capital_to_assets,86.0
Attr22,86.0
Attr60,77.0
Attr59,74.0
Attr30,73.0
Attr45,68.0
Attr37,65.0
Attr15,65.0
Attr57,65.0
Attr64,60.0
Attr33,60.0
Attr13,59.0
current_assets_to_short_liabilities,58.0
Attr19,57.0
Attr48,57.0
Attr41,54.0
Attr11,51.0
Attr32,50.0
Attr49,50.0
Attr50,47.0
Attr38,46.0
Attr43,45.0
Attr53,42.0
Attr54,39.0
Attr51,39.0
Attr28,39.0
ebit_to_assets,37.0
net_profit_to_assets,36.0
Attr62,35.0
total_liabilities_to_assets,34.0
Attr26,34.0
Attr23,29.0
grade_diff,28.0
Attr12,27.0
Attr52,25.0
Attr16,24.0
Attr63,22.0
grade_ordinal,18.0
equity_to_assets,18.0
Attr17,17.0
Attr31,17.0
book_value_equity_to_liabilities,16.0
Attr14,7.0
Attr18,6.0
override_flag,3.0
