grade,pd_lower,pd_upper
AAA,0.0,0.141822
AA,0.141822,0.219368
A,0.219368,0.306464
BBB,0.306464,0.405411
BB,0.405411,0.5162
B,0.5162,0.673042
CCC,0.673042,0.999993
