Study,DR Upgrade,DR None,DR Downgrade,grade_diff OR,grade_diff p,AUC Logistic,AUC XGBoost
"Study A
(Simulation – Base)",0.0769,0.0486,0.027,0.9261,0.0048,0.7191,0.9612
"Study B
(Conservative)",0.0729,0.0486,0.0361,0.962,0.133,0.7191,0.9612
"Study B
(Aggressive)",0.0727,0.0486,0.023,0.9331,0.0174,0.7191,0.9617
