Scenario,override_rate,upgrade_rate,dr_upgrade,dr_none,dr_downgrade,pattern_pass,grade_diff_OR,grade_diff_p,grade_diff_sig_10pct,auc_logit,auc_xgb,delta_auc
Conservative,0.352,0.1087,0.0729,0.0486,0.0361,True,0.962,0.133,False,0.7191,0.9612,0.2422
Base,0.352,0.1444,0.0769,0.0486,0.027,True,0.9261,0.0048,True,0.7191,0.9612,0.2421
Aggressive,0.352,0.173,0.0727,0.0486,0.023,True,0.9331,0.0174,True,0.7191,0.9617,0.2426
